incident_type,severity,affected_residents,timestamp,actual_outage_hrs,actual_cost
water_shortage,high,172,2025-06-18 02:10:39.036966,17.56,11771.14
water_shortage,high,348,2025-06-18 03:19:12.036966,17.96,11935.36
tank_overflow,high,279,2025-06-18 04:03:35.036966,10.41,7767.98
power_outage,critical,2902,2025-06-18 04:17:06.036966,68.49,123608.56
power_overload,high,185,2025-06-18 05:37:37.036966,18.57,15763.26
water_shortage,critical,2062,2025-06-18 07:51:25.036966,24.03,31956.21
water_pressure_drop,low,16,2025-06-18 08:11:52.036966,0.7,476.08
power_overload,low,24,2025-06-18 08:24:53.036966,2.27,615.66
power_outage,critical,2865,2025-06-18 09:39:31.036966,99.12,178560.62
water_shortage,low,21,2025-06-18 10:13:34.036966,1.75,469.39
tank_overflow,low,12,2025-06-18 10:56:11.036966,1.37,495.2
power_overload,high,359,2025-06-18 12:19:47.036966,11.1,9581.23
power_outage,medium,46,2025-06-18 13:12:52.036966,5.18,2574.76
abnormal_infrastructure,critical,1256,2025-06-18 13:39:23.036966,34.9,42137.2
power_overload,medium,87,2025-06-18 13:48:52.036966,6.97,3020.11
power_overload,medium,53,2025-06-18 14:10:23.036966,5.13,2266.09
power_overload,high,247,2025-06-18 14:28:11.036966,12.85,10963.04
water_pressure_drop,critical,426,2025-06-18 14:28:56.036966,53.63,58018.58
tank_overflow,low,29,2025-06-18 14:30:25.036966,1.19,547.53
power_outage,low,7,2025-06-18 14:46:36.036966,1.1,398.26
power_outage,low,31,2025-06-18 15:06:37.036966,2.08,631.76
power_outage,critical,1422,2025-06-18 15:24:11.036966,82.28,148494.56
water_shortage,medium,139,2025-06-18 15:39:22.036966,4.39,1678.99
power_outage,medium,153,2025-06-18 16:24:08.036966,3.46,1795.43
tank_overflow,critical,1226,2025-06-18 16:31:34.036966,14.01,20539.29
power_outage,critical,3031,2025-06-18 18:02:04.036966,95.91,172827.67
power_outage,low,30,2025-06-18 18:43:01.036966,1.65,720.13
water_pressure_drop,critical,2378,2025-06-18 19:43:41.036966,95.81,103644.61
water_pressure_drop,medium,102,2025-06-18 20:55:02.036966,3.04,1129.35
abnormal_infrastructure,medium,96,2025-06-18 21:11:00.036966,3.9,1313.8
power_overload,low,19,2025-06-18 21:25:40.036966,1.4,473.62
abnormal_infrastructure,low,25,2025-06-18 21:26:27.036966,1.23,331.84
tank_overflow,medium,66,2025-06-18 22:10:50.036966,6.47,2674.56
tank_overflow,high,288,2025-06-18 22:28:40.036966,15.55,11434.39
water_pressure_drop,high,398,2025-06-18 22:49:35.036966,6.78,3787.58
power_outage,high,499,2025-06-19 01:45:09.036966,11.73,10868.36
abnormal_infrastructure,critical,949,2025-06-19 03:47:28.036966,18.75,22698.4
power_overload,low,12,2025-06-19 04:01:29.036966,2.07,800.78
water_pressure_drop,low,18,2025-06-19 04:19:28.036966,1.13,268.15
power_overload,high,371,2025-06-19 05:42:27.036966,13.46,11465.08
power_overload,medium,114,2025-06-19 05:44:35.036966,10.16,4516.63
power_outage,medium,105,2025-06-19 05:45:56.036966,7.36,3456.55
water_pressure_drop,critical,2201,2025-06-19 05:49:50.036966,38.85,42126.55
power_overload,medium,73,2025-06-19 08:10:06.036966,7.3,3259.66
water_shortage,high,190,2025-06-19 08:29:26.036966,13.29,8945.26
water_pressure_drop,medium,75,2025-06-19 08:47:34.036966,2.45,881.8
abnormal_infrastructure,critical,1651,2025-06-19 09:21:48.036966,29.35,35749.36
water_shortage,medium,145,2025-06-19 09:35:21.036966,4.21,1929.0
tank_overflow,critical,697,2025-06-19 09:58:33.036966,17.04,24792.16
power_overload,medium,54,2025-06-19 10:00:42.036966,5.69,2582.23
power_overload,low,14,2025-06-19 11:32:41.036966,2.04,737.88
power_outage,critical,1218,2025-06-19 11:45:26.036966,35.24,63597.02
water_pressure_drop,medium,34,2025-06-19 13:02:59.036966,2.04,761.32
tank_overflow,medium,119,2025-06-19 13:23:04.036966,2.79,1200.31
abnormal_infrastructure,high,409,2025-06-19 14:38:43.036966,23.56,14259.98
water_shortage,medium,90,2025-06-19 15:04:57.036966,6.0,2057.16
tank_overflow,medium,70,2025-06-19 15:43:58.036966,4.4,1813.42
water_shortage,medium,94,2025-06-19 17:39:50.036966,3.91,1478.04
power_outage,high,616,2025-06-19 17:50:25.036966,5.18,4805.32
power_outage,high,679,2025-06-19 18:28:33.036966,12.37,11200.85
water_pressure_drop,low,24,2025-06-19 19:51:57.036966,1.17,262.48
water_pressure_drop,low,17,2025-06-19 20:17:20.036966,2.08,527.8
water_shortage,low,45,2025-06-19 20:26:43.036966,1.82,398.49
abnormal_infrastructure,high,306,2025-06-19 21:39:17.036966,14.66,8930.87
tank_overflow,medium,95,2025-06-19 21:44:37.036966,2.92,1444.44
tank_overflow,critical,2456,2025-06-19 21:52:16.036966,16.85,24399.09
power_outage,medium,99,2025-06-19 21:55:41.036966,4.63,2457.12
water_shortage,low,36,2025-06-19 22:40:29.036966,1.62,723.19
tank_overflow,low,26,2025-06-19 23:37:46.036966,2.44,580.94
power_overload,high,498,2025-06-19 23:39:29.036966,12.17,10405.35
power_overload,medium,45,2025-06-20 00:26:34.036966,13.25,5695.05
abnormal_infrastructure,low,5,2025-06-20 02:49:05.036966,1.36,308.47
power_outage,low,10,2025-06-20 04:53:40.036966,2.44,951.47
abnormal_infrastructure,high,313,2025-06-20 05:28:40.036966,15.34,9426.59
water_pressure_drop,low,18,2025-06-20 06:41:34.036966,0.84,252.87
water_pressure_drop,high,306,2025-06-20 06:50:56.036966,12.03,6724.31
water_pressure_drop,medium,81,2025-06-20 07:24:42.036966,2.29,760.93
water_shortage,critical,934,2025-06-20 07:41:15.036966,37.62,49784.39
water_shortage,low,22,2025-06-20 08:02:46.036966,1.95,805.44
power_overload,critical,1754,2025-06-20 08:36:27.036966,54.08,91124.9
tank_overflow,critical,434,2025-06-20 09:19:11.036966,23.56,34181.14
water_pressure_drop,high,121,2025-06-20 10:14:51.036966,5.29,3317.73
tank_overflow,low,26,2025-06-20 10:18:16.036966,1.68,840.7
water_pressure_drop,medium,35,2025-06-20 10:34:48.036966,5.64,1852.72
power_overload,medium,25,2025-06-20 10:49:09.036966,3.99,1766.18
water_pressure_drop,critical,668,2025-06-20 10:52:33.036966,25.91,28221.49
water_pressure_drop,critical,2226,2025-06-20 10:59:16.036966,34.33,37154.51
water_pressure_drop,high,434,2025-06-20 11:49:02.036966,6.4,3973.64
water_pressure_drop,low,14,2025-06-20 12:04:01.036966,1.52,343.88
abnormal_infrastructure,high,396,2025-06-20 12:04:44.036966,16.78,10303.9
tank_overflow,medium,117,2025-06-20 12:54:24.036966,3.13,1440.94
water_pressure_drop,medium,38,2025-06-20 13:41:15.036966,4.26,1812.35
tank_overflow,medium,97,2025-06-20 14:01:12.036966,4.31,1664.89
abnormal_infrastructure,high,260,2025-06-20 14:21:18.036966,9.76,6083.8
power_outage,medium,58,2025-06-20 15:00:47.036966,4.77,2373.49
tank_overflow,critical,2047,2025-06-20 15:51:38.036966,50.95,73462.15
abnormal_infrastructure,critical,1029,2025-06-20 16:43:56.036966,22.22,26881.2
water_shortage,high,645,2025-06-20 17:38:15.036966,14.54,9713.65
power_outage,high,223,2025-06-20 17:49:38.036966,13.23,12413.36
water_shortage,high,490,2025-06-20 18:54:24.036966,11.52,7795.19
tank_overflow,high,142,2025-06-20 19:37:47.036966,14.67,10654.11
power_overload,high,127,2025-06-20 19:59:40.036966,15.49,13153.26
power_outage,medium,130,2025-06-20 20:00:59.036966,9.63,4445.22
water_pressure_drop,high,137,2025-06-20 20:42:32.036966,8.67,4866.36
water_pressure_drop,critical,1270,2025-06-20 21:30:45.036966,31.43,34085.08
power_outage,high,463,2025-06-20 21:37:55.036966,18.58,16887.78
tank_overflow,medium,106,2025-06-20 22:06:54.036966,1.9,968.74
abnormal_infrastructure,high,312,2025-06-20 22:36:50.036966,6.73,4348.89
water_pressure_drop,low,26,2025-06-21 02:29:05.036966,0.61,250.18
power_outage,critical,739,2025-06-21 02:30:35.036966,137.16,247130.47
water_shortage,medium,75,2025-06-21 03:24:28.036966,6.8,2327.63
power_outage,low,15,2025-06-21 03:42:48.036966,1.87,469.62
power_outage,medium,106,2025-06-21 05:10:28.036966,6.41,3299.87
power_overload,low,29,2025-06-21 05:29:34.036966,1.85,644.22
abnormal_infrastructure,medium,72,2025-06-21 06:21:28.036966,5.22,1818.05
abnormal_infrastructure,high,195,2025-06-21 06:25:26.036966,8.31,5357.06
power_overload,critical,1468,2025-06-21 06:30:55.036966,74.93,126168.04
power_overload,medium,40,2025-06-21 06:42:36.036966,3.66,1747.44
power_outage,critical,1581,2025-06-21 06:43:00.036966,54.66,98480.96
tank_overflow,medium,105,2025-06-21 06:50:45.036966,3.0,1306.06
tank_overflow,critical,2486,2025-06-21 07:08:14.036966,56.34,81317.03
tank_overflow,high,231,2025-06-21 07:31:52.036966,13.02,9608.21
water_shortage,high,180,2025-06-21 08:06:24.036966,5.79,4085.92
water_shortage,low,15,2025-06-21 08:38:16.036966,1.82,1047.74
power_outage,low,15,2025-06-21 08:50:45.036966,2.02,686.47
water_pressure_drop,critical,2292,2025-06-21 09:15:43.036966,39.67,42940.24
power_outage,high,331,2025-06-21 10:56:29.036966,11.46,10483.32
water_shortage,medium,55,2025-06-21 14:23:10.036966,5.01,1868.94
water_pressure_drop,high,135,2025-06-21 17:08:05.036966,4.95,3245.99
abnormal_infrastructure,low,17,2025-06-21 18:39:28.036966,1.67,308.65
water_shortage,medium,124,2025-06-21 19:44:03.036966,2.89,1066.07
power_outage,critical,807,2025-06-21 20:30:44.036966,25.76,46594.89
water_shortage,high,346,2025-06-21 20:54:39.036966,9.59,6902.45
water_shortage,low,22,2025-06-21 21:05:37.036966,1.14,564.11
abnormal_infrastructure,critical,2398,2025-06-21 21:46:49.036966,43.33,52464.45
power_overload,medium,66,2025-06-21 22:14:24.036966,4.18,1999.78
abnormal_infrastructure,low,9,2025-06-21 22:31:21.036966,1.4,372.86
abnormal_infrastructure,medium,103,2025-06-21 22:37:41.036966,5.21,1741.37
abnormal_infrastructure,medium,36,2025-06-21 23:37:46.036966,5.7,2002.58
water_shortage,medium,54,2025-06-22 00:38:19.036966,4.3,1789.62
tank_overflow,critical,587,2025-06-22 00:48:34.036966,70.22,101394.49
tank_overflow,low,16,2025-06-22 02:03:47.036966,1.78,653.28
abnormal_infrastructure,medium,43,2025-06-22 02:19:48.036966,4.96,1829.92
water_shortage,low,7,2025-06-22 02:19:51.036966,1.07,318.17
power_overload,medium,111,2025-06-22 02:32:29.036966,6.05,2720.25
water_shortage,critical,1500,2025-06-22 02:40:50.036966,68.09,89961.97
water_shortage,medium,37,2025-06-22 02:51:59.036966,3.96,1509.84
tank_overflow,low,24,2025-06-22 03:05:58.036966,1.74,382.24
water_shortage,medium,55,2025-06-22 03:54:34.036966,2.98,1250.54
water_pressure_drop,low,25,2025-06-22 04:15:20.036966,0.67,416.66
power_outage,medium,144,2025-06-22 04:18:04.036966,12.81,5865.78
tank_overflow,critical,1792,2025-06-22 04:31:43.036966,23.29,33842.51
tank_overflow,high,311,2025-06-22 06:24:57.036966,10.5,7724.83
tank_overflow,critical,1935,2025-06-22 07:30:43.036966,59.26,85978.9
abnormal_infrastructure,low,30,2025-06-22 08:09:39.036966,1.57,407.49
power_outage,critical,2542,2025-06-22 08:35:05.036966,30.99,56009.24
power_outage,high,247,2025-06-22 10:40:19.036966,13.07,12020.84
power_overload,high,246,2025-06-22 10:55:49.036966,22.74,19343.59
power_outage,high,352,2025-06-22 11:14:36.036966,9.35,8669.44
water_shortage,critical,2050,2025-06-22 11:17:44.036966,23.61,31382.75
abnormal_infrastructure,high,204,2025-06-22 12:16:47.036966,10.27,6345.48
power_outage,medium,145,2025-06-22 13:04:06.036966,3.32,1710.34
power_outage,medium,67,2025-06-22 13:48:53.036966,7.64,3633.1
tank_overflow,high,108,2025-06-22 13:56:20.036966,11.61,8656.04
power_overload,high,178,2025-06-22 14:36:18.036966,6.97,6090.39
power_overload,high,379,2025-06-22 15:50:58.036966,15.8,13364.46
tank_overflow,high,389,2025-06-22 17:58:47.036966,14.2,10511.47
tank_overflow,low,15,2025-06-22 18:07:43.036966,1.18,457.52
power_overload,high,197,2025-06-22 18:08:24.036966,6.58,5669.73
power_overload,medium,50,2025-06-22 19:05:17.036966,2.92,1640.1
abnormal_infrastructure,low,23,2025-06-22 19:29:52.036966,1.26,283.0
tank_overflow,critical,650,2025-06-22 19:39:02.036966,11.04,16297.46
water_shortage,critical,3739,2025-06-22 21:37:39.036966,41.11,54547.19
power_overload,critical,1315,2025-06-22 21:55:04.036966,117.21,197322.8
power_outage,critical,1564,2025-06-22 22:23:28.036966,31.83,57434.08
power_outage,critical,2086,2025-06-22 22:54:57.036966,55.9,100796.8
power_overload,critical,1742,2025-06-23 00:56:53.036966,10.27,17370.79
tank_overflow,low,7,2025-06-23 01:10:01.036966,1.41,561.47
power_overload,high,374,2025-06-23 01:37:05.036966,3.61,3590.65
power_outage,low,16,2025-06-23 01:37:22.036966,3.01,961.68
tank_overflow,critical,561,2025-06-23 02:02:02.036966,51.58,74824.1
power_overload,low,17,2025-06-23 03:02:46.036966,2.0,654.81
power_outage,medium,162,2025-06-23 04:49:47.036966,3.44,1637.85
water_shortage,medium,114,2025-06-23 05:24:18.036966,5.67,2274.17
abnormal_infrastructure,critical,2021,2025-06-23 06:37:34.036966,19.09,23181.14
power_outage,low,7,2025-06-23 07:50:29.036966,2.95,1114.2
power_overload,high,184,2025-06-23 07:56:43.036966,21.88,18568.56
tank_overflow,critical,1412,2025-06-23 09:27:54.036966,46.11,66538.88
tank_overflow,high,133,2025-06-23 10:34:59.036966,6.9,5124.89
water_shortage,low,18,2025-06-23 10:42:33.036966,1.71,527.34
power_outage,medium,171,2025-06-23 11:11:57.036966,4.23,2037.18
water_shortage,low,42,2025-06-23 11:31:41.036966,1.6,512.53
water_shortage,critical,3561,2025-06-23 11:48:08.036966,25.92,34415.03
power_overload,medium,53,2025-06-23 12:53:31.036966,4.87,2183.21
abnormal_infrastructure,medium,75,2025-06-23 13:19:55.036966,3.08,1114.24
tank_overflow,critical,1925,2025-06-23 15:44:02.036966,12.4,17988.17
abnormal_infrastructure,high,306,2025-06-23 16:21:19.036966,7.93,5039.79
power_overload,low,13,2025-06-23 17:17:54.036966,2.54,771.85
power_overload,medium,112,2025-06-23 17:36:02.036966,3.2,1652.01
abnormal_infrastructure,critical,1977,2025-06-23 17:36:25.036966,34.36,41552.59
water_pressure_drop,medium,32,2025-06-23 19:21:11.036966,3.42,1338.56
abnormal_infrastructure,high,294,2025-06-23 20:03:58.036966,13.27,8058.99
power_overload,critical,1319,2025-06-23 20:24:37.036966,33.58,56697.63
power_outage,critical,2652,2025-06-23 21:16:12.036966,127.44,229567.62
power_outage,critical,3117,2025-06-23 22:17:40.036966,28.4,51509.52
tank_overflow,medium,119,2025-06-23 22:17:52.036966,3.02,1258.34
tank_overflow,medium,37,2025-06-23 22:49:32.036966,3.44,1406.63
water_pressure_drop,low,30,2025-06-24 00:18:09.036966,1.27,333.56
tank_overflow,critical,1205,2025-06-24 01:25:41.036966,29.64,42809.98
tank_overflow,medium,84,2025-06-24 03:07:04.036966,3.95,1692.12
water_shortage,critical,1603,2025-06-24 03:12:31.036966,126.04,166556.92
water_pressure_drop,low,7,2025-06-24 03:13:40.036966,1.17,339.09
water_shortage,medium,75,2025-06-24 03:28:11.036966,2.75,1376.39
abnormal_infrastructure,high,181,2025-06-24 04:09:27.036966,12.7,7871.59
power_outage,low,9,2025-06-24 04:14:00.036966,1.23,377.85
power_outage,high,343,2025-06-24 04:50:16.036966,27.36,24911.21
water_shortage,medium,97,2025-06-24 05:25:16.036966,5.71,2137.29
abnormal_infrastructure,low,7,2025-06-24 05:44:26.036966,1.06,414.34
abnormal_infrastructure,critical,1086,2025-06-24 06:01:09.036966,23.24,28155.69
tank_overflow,medium,32,2025-06-24 07:23:33.036966,1.69,830.91
abnormal_infrastructure,high,251,2025-06-24 07:38:29.036966,30.75,18841.91
power_outage,low,45,2025-06-24 07:48:12.036966,2.14,827.89
water_pressure_drop,medium,54,2025-06-24 07:53:34.036966,4.2,1470.7
tank_overflow,high,289,2025-06-24 09:22:44.036966,8.9,6584.75
water_shortage,low,12,2025-06-24 09:30:10.036966,0.99,322.31
tank_overflow,medium,84,2025-06-24 11:17:31.036966,4.65,1818.63
power_outage,high,457,2025-06-24 11:46:43.036966,38.2,34496.55
abnormal_infrastructure,medium,77,2025-06-24 12:21:43.036966,2.66,975.02
power_overload,medium,102,2025-06-24 12:37:48.036966,2.82,1620.08
tank_overflow,low,9,2025-06-24 13:07:12.036966,1.24,495.14
abnormal_infrastructure,low,8,2025-06-24 13:39:29.036966,1.42,1200.2
power_overload,high,158,2025-06-24 17:35:41.036966,13.15,11359.99
water_shortage,high,670,2025-06-24 18:37:13.036966,8.7,5812.48
water_shortage,low,37,2025-06-24 18:50:16.036966,2.73,939.27
tank_overflow,low,15,2025-06-24 19:00:47.036966,1.77,768.22
power_overload,low,26,2025-06-24 19:28:20.036966,1.33,588.93
tank_overflow,critical,1930,2025-06-24 21:12:22.036966,59.8,86413.72
power_outage,high,348,2025-06-24 23:26:58.036966,24.91,22504.17
tank_overflow,high,264,2025-06-25 00:44:58.036966,7.38,5622.56
water_shortage,critical,3321,2025-06-25 01:18:42.036966,47.95,63440.82
abnormal_infrastructure,medium,79,2025-06-25 02:38:50.036966,3.81,1457.03
power_outage,low,27,2025-06-25 03:07:13.036966,1.7,515.92
abnormal_infrastructure,critical,2209,2025-06-25 03:13:21.036966,19.87,23991.67
water_shortage,critical,3148,2025-06-25 03:22:35.036966,28.61,37867.0
abnormal_infrastructure,high,385,2025-06-25 03:50:16.036966,11.34,7005.51
water_pressure_drop,medium,99,2025-06-25 05:06:40.036966,2.22,882.53
tank_overflow,high,402,2025-06-25 05:28:56.036966,13.78,10123.69
water_shortage,critical,2241,2025-06-25 06:41:39.036966,28.76,38110.32
abnormal_infrastructure,high,447,2025-06-25 06:58:56.036966,5.16,3321.55
power_outage,low,10,2025-06-25 07:34:26.036966,2.17,648.44
tank_overflow,critical,986,2025-06-25 09:19:12.036966,32.3,46756.13
power_outage,critical,2401,2025-06-25 09:44:26.036966,47.86,86255.75
water_shortage,low,40,2025-06-25 10:20:26.036966,2.55,681.56
tank_overflow,low,12,2025-06-25 11:08:46.036966,1.22,312.15
power_outage,low,9,2025-06-25 11:10:42.036966,2.86,794.05
water_shortage,medium,60,2025-06-25 11:42:59.036966,2.29,1056.84
water_pressure_drop,critical,777,2025-06-25 13:34:11.036966,27.59,30169.53
water_pressure_drop,critical,836,2025-06-25 14:42:11.036966,43.4,47052.13
power_overload,low,17,2025-06-25 14:52:06.036966,1.3,561.75
power_outage,medium,57,2025-06-25 15:27:29.036966,10.33,4832.21
power_outage,high,642,2025-06-25 16:01:30.036966,16.03,14628.06
tank_overflow,medium,109,2025-06-25 17:12:19.036966,3.82,1499.9
power_overload,medium,58,2025-06-25 17:32:47.036966,3.25,1506.82
power_overload,high,319,2025-06-25 17:57:18.036966,18.93,16101.26
power_outage,high,480,2025-06-25 18:26:11.036966,13.47,12652.53
abnormal_infrastructure,critical,968,2025-06-25 18:30:31.036966,31.41,37878.31
power_outage,high,304,2025-06-25 18:53:00.036966,26.65,24135.61
water_shortage,critical,1195,2025-06-25 19:01:25.036966,39.73,52603.29
power_outage,critical,2367,2025-06-25 19:54:25.036966,29.11,52613.21
tank_overflow,critical,1136,2025-06-25 22:04:27.036966,48.02,69369.25
power_outage,high,166,2025-06-25 22:51:52.036966,18.02,16318.56
water_shortage,high,226,2025-06-25 23:34:46.036966,16.08,10780.52
water_pressure_drop,critical,463,2025-06-25 23:47:16.036966,21.12,23082.15
water_pressure_drop,medium,32,2025-06-26 00:47:06.036966,2.3,1124.47
power_overload,critical,620,2025-06-26 00:53:18.036966,32.57,54895.91
abnormal_infrastructure,low,8,2025-06-26 01:07:05.036966,1.01,378.74
water_pressure_drop,medium,79,2025-06-26 01:51:56.036966,2.45,762.06
water_pressure_drop,critical,912,2025-06-26 02:10:22.036966,24.0,26099.38
power_outage,low,39,2025-06-26 04:28:02.036966,1.87,678.13
abnormal_infrastructure,high,113,2025-06-26 04:29:15.036966,10.99,6761.69
water_shortage,medium,37,2025-06-26 05:32:22.036966,2.76,1044.88
abnormal_infrastructure,medium,95,2025-06-26 06:01:33.036966,2.14,795.51
power_overload,medium,102,2025-06-26 08:48:55.036966,6.63,2994.58
water_shortage,medium,105,2025-06-26 09:34:15.036966,5.47,1936.83
abnormal_infrastructure,high,419,2025-06-26 09:35:10.036966,12.04,7294.46
tank_overflow,low,30,2025-06-26 09:37:41.036966,1.97,641.84
abnormal_infrastructure,high,351,2025-06-26 09:51:58.036966,10.15,6202.28
power_outage,high,682,2025-06-26 10:04:42.036966,19.9,18181.18
water_shortage,critical,1660,2025-06-26 11:38:49.036966,23.17,30700.88
water_shortage,low,19,2025-06-26 13:13:27.036966,1.14,322.75
abnormal_infrastructure,low,9,2025-06-26 13:57:57.036966,1.04,261.58
tank_overflow,critical,2446,2025-06-26 15:28:29.036966,57.7,83205.23
power_outage,critical,1509,2025-06-26 15:51:18.036966,92.34,166348.34
tank_overflow,high,348,2025-06-26 15:55:17.036966,20.9,15177.17
tank_overflow,critical,1333,2025-06-26 16:10:20.036966,28.26,40819.4
water_shortage,medium,66,2025-06-26 16:51:32.036966,4.85,1807.76
tank_overflow,critical,2177,2025-06-26 17:43:34.036966,27.3,39429.46
water_pressure_drop,medium,84,2025-06-26 18:12:21.036966,7.05,2087.82
abnormal_infrastructure,high,344,2025-06-26 18:42:42.036966,21.9,13291.95
water_pressure_drop,low,15,2025-06-26 20:45:35.036966,1.02,390.23
power_overload,medium,46,2025-06-26 21:27:12.036966,5.38,2304.42
tank_overflow,medium,28,2025-06-26 23:46:59.036966,2.71,1262.21
water_pressure_drop,low,16,2025-06-26 23:55:47.036966,0.81,277.65
tank_overflow,low,9,2025-06-27 00:16:46.036966,1.26,520.17
power_overload,medium,102,2025-06-27 00:26:11.036966,4.5,2108.69
